id,dir_genre1,dir_genre2,dir_genre3,actor1_genre1,actor1_genre2,actor1_genre3,actor2_genre1,actor2_genre2,actor2_genre3
58809,19,19,19,19,19,19,19,19,19
44043,6,16,4,14,6,18,6,4,16
425243,19,19,19,19,19,19,19,19,19
287912,3,4,6,12,6,14,6,17,18
211192,6,8,12,19,19,19,19,19,19
341719,6,3,18,6,3,17,6,3,17
38282,6,14,9,3,14,4,6,16,4
60279,3,18,8,18,8,1,18,8,1
173656,19,19,19,19,19,19,19,19,19
25189,14,6,12,14,3,6,6,4,16
59477,19,19,19,8,3,7,6,17,18
309247,18,0,4,18,0,6,19,19,19
15965,19,19,19,19,19,19,19,19,19
143760,3,12,6,18,1,13,16,13,3
63876,6,14,3,6,14,13,6,3,16
410050,5,7,18,19,19,19,19,19,19
2217,15,3,18,6,16,14,19,19,19
79193,19,19,19,16,18,8,3,18,8
409788,19,19,19,19,19,19,3,12,6
14793,1,2,7,19,19,19,19,19,19
219030,3,12,6,6,14,3,19,19,19
414389,3,6,14,6,18,8,18,8,1
141623,6,16,14,6,18,3,5,18,8
391489,5,6,9,19,19,19,19,19,19
81039,3,6,4,6,14,3,6,14,4
186717,14,3,18,13,11,18,18,8,1
270389,18,8,1,19,19,19,19,19,19
366401,6,14,12,3,11,8,15,11,0
300934,19,19,19,19,19,19,19,19,19
150653,6,9,15,19,19,19,19,19,19
284677,18,8,1,19,19,19,19,19,19
408755,19,19,19,19,19,19,19,19,19
422234,6,14,3,3,6,18,19,19,19
217162,6,14,12,6,14,3,19,19,19
80798,6,14,9,6,14,9,19,19,19
366708,18,8,1,11,18,8,18,8,1
340603,19,19,19,6,18,8,19,19,19
284406,14,6,9,19,19,19,18,8,1
229757,18,14,3,6,3,17,6,14,18
198251,19,19,19,6,17,18,3,18,8
411815,4,6,9,3,14,11,11,3,16
99642,11,6,18,14,3,6,6,14,18
283127,0,6,16,19,19,19,18,8,1
330749,6,14,12,11,0,1,4,6,18
72165,19,19,19,16,0,6,16,0,4
198657,6,9,3,6,18,8,19,19,19
246659,19,19,19,19,19,19,19,19,19
300582,3,12,5,19,19,19,19,19,19
